Column1,BalanceSheet_global,BTC_USD,Mining_Difficulty,USD_OnChain_Volume,GDP_usa,HashRate,M2_Liquidity,Dollar_Index,QQQ,GLD,TLT,10YR_USA,VIX,OIL_USD,Miners_Revenue_USD,Nr_Tx_Block,Nr_Transactions,Nr_Addresses,BTC_PageViews,Crypto_PageViews,BTC_Supply,
BalanceSheet_global,1.000,,,,,,,,,,,,,,,,,,,,,
BTC_USD,0.111,1.000,,,,,,,,,,,,,,,,,,,,
Mining_Difficulty,-0.171,-0.034,1.000,,,,,,,,,,,,,,,,,,,
USD_OnChain_Volume,-0.061,0.236,0.057,1.000,,,,,,,,,,,,,,,,,,
GDP_usa,-0.178,0.053,0.009,0.013,1.000,,,,,,,,,,,,,,,,,
HashRate,0.067,0.078,-0.038,0.022,0.041,1.000,,,,,,,,,,,,,,,,
M2_Liquidity,0.303,-0.007,-0.111,-0.067,0.002,-0.067,1.000,,,,,,,,,,,,,,,
Dollar_Index,-0.009,-0.127,0.101,-0.072,-0.062,-0.057,0.010,1.000,,,,,,,,,,,,,,
QQQ,0.050,0.158,-0.055,-0.041,0.127,0.109,0.040,-0.240,1.000,,,,,,,,,,,,,
GLD,0.145,0.124,-0.088,0.024,-0.010,0.073,0.083,-0.532,0.106,1.000,,,,,,,,,,,,
TLT,0.124,0.023,-0.063,-0.019,-0.130,0.018,-0.058,-0.206,0.009,0.356,1.000,,,,,,,,,,,
10YR_USA,-0.175,-0.014,0.039,0.014,0.193,0.010,0.042,0.189,0.032,-0.402,-0.846,1.000,,,,,,,,,,
VIX,0.012,-0.133,0.007,0.066,-0.118,-0.069,-0.024,0.033,-0.681,0.022,0.143,-0.180,1.000,,,,,,,,,
OIL_USD,-0.125,0.107,-0.008,0.030,0.185,0.038,-0.016,-0.086,0.199,0.111,-0.204,0.120,-0.279,1.000,,,,,,,,
Miners_Revenue_USD,0.168,0.582,-0.264,0.186,0.036,0.709,0.004,-0.122,0.165,0.143,0.058,-0.016,-0.129,0.028,1.000,,,,,,,
Nr_Tx_Block,-0.091,0.089,0.164,0.166,-0.023,-0.431,-0.030,0.008,-0.011,-0.010,0.041,-0.021,0.002,-0.002,-0.324,1.000,,,,,,
Nr_Transactions,0.002,0.166,-0.179,0.170,0.010,0.384,-0.052,-0.085,0.099,0.090,0.073,-0.019,-0.070,0.039,0.365,0.595,1.000,,,,,
Nr_Addresses,0.010,0.295,-0.152,0.385,0.020,0.331,-0.024,-0.095,0.033,0.045,-0.038,0.041,0.007,0.049,0.447,0.270,0.621,1.000,,,,
BTC_PageViews,0.027,0.246,0.079,0.284,0.024,0.008,0.040,-0.031,-0.035,-0.019,-0.083,0.098,0.057,-0.001,0.160,0.124,0.106,0.243,1.000,,,
Crypto_PageViews,-0.009,-0.007,0.005,0.029,-0.062,0.011,0.056,-0.050,-0.047,0.078,-0.011,-0.034,0.007,0.058,-0.013,-0.006,0.007,0.056,0.054,1.000,,
BTC_Supply,0.008,0.043,0.185,0.002,-0.174,0.065,0.046,-0.010,-0.028,0.016,0.092,-0.088,0.029,-0.048,0.022,0.019,0.011,0.051,0.028,-0.029,1.000,
