DATE,GDP_japan
1994-01-01,510145.0
1994-04-01,509010.1
1994-07-01,512968.1
1994-10-01,511590.7
1995-01-01,514938.6
1995-04-01,518748.4
1995-07-01,525379.7
1995-10-01,527040.3
1996-01-01,529008.8
1996-04-01,536010.2
1996-07-01,536148.2
1996-10-01,541144.9
1997-01-01,542165.3
1997-04-01,544042.4
1997-07-01,544047.2
1997-10-01,544968.9
1998-01-01,537997.8
1998-04-01,534786.9
1998-07-01,533916.9
1998-10-01,539274.4
1999-01-01,529093.4
1999-04-01,528998.2
1999-07-01,528600.7
1999-10-01,527843.5
2000-01-01,535155.8
2000-04-01,535339.9
2000-07-01,534452.4
2000-10-01,537820.5
2001-01-01,542583.0
2001-04-01,534233.5
2001-07-01,527044.2
2001-10-01,523901.2
2002-01-01,525489.9
2002-04-01,524219.6
2002-07-01,524205.5
2002-10-01,524412.6
2003-01-01,521381.0
2003-04-01,524518.6
2003-07-01,524381.2
2003-10-01,526397.2
2004-01-01,529359.7
2004-04-01,527655.0
2004-07-01,530478.5
2004-10-01,529917.7
2005-01-01,529915.3
2005-04-01,531343.5
2005-07-01,534573.1
2005-10-01,534748.7
2006-01-01,534561.6
2006-04-01,533984.7
2006-07-01,532227.7
2006-10-01,539934.1
2007-01-01,541977.7
2007-04-01,542025.2
2007-07-01,536471.9
2007-10-01,536840.9
2008-01-01,537609.9
2008-04-01,533587.4
2008-07-01,523222.6
2008-10-01,516938.5
2009-01-01,492214.1
2009-04-01,497862.4
2009-07-01,493622.0
2009-10-01,496500.9
2010-01-01,501471.4
2010-04-01,504976.6
2010-07-01,510917.7
2010-10-01,505350.1
2011-01-01,498629.8
2011-04-01,490706.3
2011-07-01,501027.4
2011-10-01,500340.6
2012-01-01,507401.8
2012-04-01,500183.9
2012-07-01,497524.9
2012-10-01,497347.1
2013-01-01,502877.5
2013-04-01,507534.8
2013-07-01,512879.7
2013-10-01,512592.2
2014-01-01,516491.8
2014-04-01,517929.3
2014-07-01,518306.4
2014-10-01,522163.7
2015-01-01,534597.1
2015-04-01,538241.5
2015-07-01,539935.4
2015-10-01,539353.5
2016-01-01,545128.8
2016-04-01,543480.9
2016-07-01,543595.8
2016-10-01,544585.8
2017-01-01,547459.1
2017-04-01,550777.3
2017-07-01,557081.4
2017-10-01,556897.6
2018-01-01,558097.3
2018-04-01,559155.2
2018-07-01,555340.9
2018-10-01,553632.0
2019-01-01,558381.1
2019-04-01,561131.4
2019-07-01,561496.7
2019-10-01,550319.7
2020-01-01,554163.9
2020-04-01,514011.7
2020-07-01,540541.1
2020-10-01,549431.5
2021-01-01,550976.5
2021-04-01,554136.2
2021-07-01,550618.3
2021-10-01,555460.4
2022-01-01,554814.9
2022-04-01,560405.4
2022-07-01,557327.9
2022-10-01,567911.8
2023-01-01,580423.0
2023-04-01,595112.1
2023-07-01,593792.5
2023-10-01,597938.2
2024-01-01,598108.5
