DATE,GDP_euro-area
1995-01-01,1552414.7
1995-04-01,1570824.4
1995-07-01,1597803.1
1995-10-01,1617581.6
1996-01-01,1635482.9
1996-04-01,1655035.4
1996-07-01,1671691.5
1996-10-01,1676119.9
1997-01-01,1676906.2
1997-04-01,1693435.9
1997-07-01,1713786.3
1997-10-01,1739838.2
1998-01-01,1750569.7
1998-04-01,1769110.4
1998-07-01,1786249.2
1998-10-01,1803217.9
1999-01-01,1821985.8
1999-04-01,1837329.9
1999-07-01,1867003.6
1999-10-01,1896442.9
2000-01-01,1930997.6
2000-04-01,1956827.4
2000-07-01,1980618.7
2000-10-01,2004174.3
2001-01-01,2036113.4
2001-04-01,2055501.5
2001-07-01,2067126.1
2001-10-01,2086199.0
2002-01-01,2110649.6
2002-04-01,2126836.9
2002-07-01,2145521.3
2002-10-01,2160733.0
2003-01-01,2166378.2
2003-04-01,2178089.3
2003-07-01,2205546.6
2003-10-01,2225203.0
2004-01-01,2248838.4
2004-04-01,2278446.0
2004-07-01,2298341.1
2004-10-01,2327669.8
2005-01-01,2346667.3
2005-04-01,2370844.9
2005-07-01,2403248.9
2005-10-01,2434707.5
2006-01-01,2469303.2
2006-04-01,2512606.7
2006-07-01,2544569.8
2006-10-01,2591587.8
2007-01-01,2635618.1
2007-04-01,2670006.4
2007-07-01,2697838.6
2007-10-01,2740009.5
2008-01-01,2772011.2
2008-04-01,2789010.7
2008-07-01,2790631.9
2008-10-01,2728096.3
2009-01-01,2628743.7
2009-04-01,2629912.9
2009-07-01,2652367.2
2009-10-01,2673639.0
2010-01-01,2695667.0
2010-04-01,2729884.8
2010-07-01,2758580.9
2010-10-01,2782774.6
2011-01-01,2823561.9
2011-04-01,2831422.9
2011-07-01,2836878.2
2011-10-01,2828296.9
2012-01-01,2841166.4
2012-04-01,2841811.6
2012-07-01,2859343.7
2012-10-01,2853065.5
2013-01-01,2856131.3
2013-04-01,2877547.6
2013-07-01,2888419.9
2013-10-01,2899874.0
2014-01-01,2924334.5
2014-04-01,2936189.0
2014-07-01,2956014.2
2014-10-01,2972592.2
2015-01-01,3011495.2
2015-04-01,3042756.8
2015-07-01,3063852.8
2015-10-01,3086552.2
2016-01-01,3103570.4
2016-04-01,3121240.3
2016-07-01,3141914.3
2016-10-01,3169195.2
2017-01-01,3210429.8
2017-04-01,3253429.5
2017-07-01,3287576.9
2017-10-01,3326186.5
2018-01-01,3344298.4
2018-04-01,3369891.5
2018-07-01,3389450.9
2018-10-01,3431351.0
2019-01-01,3468474.5
2019-04-01,3495459.4
2019-07-01,3517158.1
2019-10-01,3544541.4
2020-01-01,3453217.7
2020-04-01,3109401.5
2020-07-01,3425397.7
2020-10-01,3466229.1
2021-01-01,3510637.7
2021-04-01,3603708.2
2021-07-01,3715588.7
2021-10-01,3785325.1
2022-01-01,3860421.0
2022-04-01,3943803.9
2022-07-01,4009673.2
2022-10-01,4080881.9
2023-01-01,4173991.9
2023-04-01,4224584.7
2023-07-01,4255126.2
2023-10-01,4310741.9
2024-01-01,4353839.7
